command,success
building ARMv7l wheels for the Opentrons OT-2 system. The goal is to get Prefect working on the actual device.,Success
building it and then commit the actual wheel files to replace the placeholder.,Unknown
building it locally for ARMv7l architecture or use a cross-compilation approach.,Unknown
building package artifacts was failing when attempting to build pandas 1.5.0 due to incompatible dependency versions in the ARM cross-compilation e...,Failed
Building package in directory /build-environment/python-package-index/packages/pandas/1.5.0,Unknown
"Building package in directory {package.source_path}"")",Unknown
building pandas 1.5.0 for ARM architecture due to compilation errors in `pandas/_libs/src/klib/khash_python.h`. The error occurred because the `KHA...,Failed
building the three essential wheels required for Prefect on OT-2.,Unknown
"building the wheels (pendulum, ujson, prefect) that are hard-coded in the installer.",Unknown
"Building ujson fallback wheel..."")",Failed
Building wheel for docopt (setup.py) ... - done,Success
"building with Rust cross-compilation is complex, let me try a different approach. Let me try to see if I can create a ""fake"" armv7l wheel by taking...",Unknown
"compiling its C extensions, the complex number types aren't being properly defined for the ARM target. This could be because:",Success
compiling on x86_64.,Success
compiling pendulum might solve the issue.,Unknown
cp /home/runner/work/opentrons-python-packages/opentrons-python-packages/wheels/pendulum-3.1.0-py3-none-any.whl .,Unknown
cp /tmp/pendulum_build/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl /home/runner/work/opentrons-python-packages/opentrons-python-packages/wheels/,Unknown
cp /tmp/sqlalchemy_download/sqlalchemy-2.0.41-py3-none-any.whl wheels/,Unknown
cp /tmp/ujson_fallback/dist/ujson-5.10.0-py3-none-linux_armv7l.whl /home/runner/work/opentrons-python-packages/opentrons-python-packages/wheels/,Unknown
cp tools/tests/test_data/dist/pandas/1.5.0/pandas-1.5.0-cp310-cp310-linux_armv7l.whl wheels/,Success
"curl -f $GITHUB_COPILOT_ACTION_DOWNLOAD_URL -o ./action.tar.gz > ""runtime-logs/download.log"" 2>&1; \",Unknown
"curl -f -H ""Authorization: ***"" $GITHUB_COPILOT_ACTION_STAGING_DOWNLOAD_URL -o ./action.tar.gz > ""runtime-logs/download.log"" 2>&1; \",Unknown
"curl -I ""https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/79767ae/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl",Success
"curl -I ""https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl",Success
curl -I https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl,Success
curl -I https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl,Unknown
"curl -I https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl"",",Success
"curl -I https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/ujson-5.10.0-py3-none-linux_armv7l.whl"",",Success
"curl -L -H ""Authorization: token $GITHUB_TOKEN"" ""$ARTIFACT_URL"" -o /tmp/prefect-package.zip",Success
"curl -L -o /tmp/prefect-package.zip ""https://github.com/sgbaird/opentrons-python-packages/suites/[run-id]/artifacts/[artifact-id]",Unknown
curl -L https://files.pythonhosted.org/packages/f1/3c/78d6b39e506f34feaacf60fb6ed803ac09fca28cdb2fcfe1b1f68e26b8b38/pendulum-3.1.0-cp310-cp310-many...,Unknown
curl -L https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/79767ae/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl -o /tmp/pend...,Unknown
curl -L https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/pandas-1.5.0-cp310-cp310-linux_armv7l.whl -o /tmp...,Unknown
curl -L https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl -o /t...,Unknown
curl -L https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/pendulum-3.1.0-cp310-cp310-manylinux_2_17_aarch64...,Success
curl -L https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/ujson-5.10.0-py3-none-linux_armv7l.whl -o /tmp/uj...,Unknown
curl -L https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/e7394f6/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl -o pendulum.whl,Unknown
curl -L https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/main/wheels/ 2>/dev/null | grep -E '(cryptography|asyncpg|shellingham|r...,Success
curl -L https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/main/wheels/pandas-1.5.0-cp310-cp310-linux_armv7l.whl -o /tmp/pandas.whl,Unknown
curl -L https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/main/wheels/pandas-1.5.0-cp310...,Unknown
curl -L https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/main/wheels/pendulum-3.1.0-cp310-cp310-manylinux_2_17_aarch64.manylinux...,Unknown
curl -L https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/main/wheels/pendulum-3.1.0-cp310-cp310-manylinux_2_17_aarch64.manylinux...,Unknown
"curl -L {base_url}/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl -o /tmp/pendulum.whl"",",Unknown
"curl -L {base_url}/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl -o pendulum.whl"",",Unknown
curl or pip instead of requiring file transfer via SCP/FTP.,Unknown
"curl to install directly from GitHub Actions artifacts, rather than requiring SCP/FTP file transfer.",Success
"docker and args: run,-i,--rm,--init,mcp/playwright",Unknown
"docker and args: run,-i,--rm,--init,mcp/playwright",Success
docker build -f /home/runner/work/opentrons-python-packages/opentrons-python-packages/tools/Dockerfile -t ghcr.io/opentrons/python-package-builder:...,Unknown
"Docker build due to network constraints, let me create a simulation that validates the approach would work. Let me also check if there are any othe...",Success
Docker build is running into network issues. Let me try a different approach and check if the change is correct by examining the current state and ...,Unknown
"Docker build is taking too long. Let me check more closely what the exact issue is. From the problem statement, the error is in pandas compilation ...",Failed
Docker build namespace will be set to the URL of the registry.,Unknown
docker pull ghcr.io/opentrons/python-package-builder:main,Success
docker pull ghcr.io/opentrons/python-package-builder:main,Unknown
docker pull ghcr.io/opentrons/python-package-builder:main,Failed
docker run --rm --platform linux/arm/v7 -v /tmp:/workspace python:3.10-slim bash -c,Unknown
"docker run --rm --volume=/home/runner/work/opentrons-python-packages/opentrons-python-packages:/build-environment/python-package-index:rw,delegated...",Unknown
"docker run --rm --volume=/home/runner/work/opentrons-python-packages/opentrons-python-packages:/build-environment/python-package-index:rw,delegated...",Unknown
"docker run --rm --volume=/home/runner/work/opentrons-python-packages/opentrons-python-packages:/build-environment/python-package-index:rw,delegated...",Unknown
"docker run --rm --volume=/home/runner/work/opentrons-python-packages/opentrons-python-packages:/build-environment/python-package-index:rw,delegated...",Unknown
"export PATH=""/home/runner/.local/bin:$PATH"" && cd /home/runner/work/opentrons-python-packages/opentrons-python-packages/tools && poetry install",Success
file PyYAML-6.0.2-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,Unknown
file wheels/pandas-1.5.0-cp310-cp310-linux_armv7l.whl,Unknown
"find . -name ""*.md"" -exec grep -l ""index-url\|package.*index\|pip install"" {} \;",Unknown
"find . -name ""*.py"" -exec grep -i ""CFLAGS\|CPPFLAGS\|CC\|CXX"" {} \;",Unknown
"find . -name ""*.py"" -exec grep -i ""flag\|compile\|cppflags\|cflags"" {} \;",Failed
git a/OT2-FLOW-TESTING.md b/OT2-FLOW-TESTING.md,Unknown
git a/OT2-FLOW-TESTING.md b/OT2-FLOW-TESTING.md,Success
git a/PyYAML-6.0.2-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl b/PyYAML-6.0.2-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64...,Unknown
git a/TESTING-SUMMARY.md b/TESTING-SUMMARY.md,Unknown
git a/TESTING.md b/TESTING.md,Unknown
git a/wheels/pandas-1.5.0-cp310-cp310-linux_armv7l.whl b/wheels/pandas-1.5.0-cp310-cp310-linux_armv7l.whl,Unknown
git a/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl b/wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl,Unknown
git a/wheels/pendulum-3.1.0-cp310-cp310-manylinux_2_17_aarch64.manylinux2014_aarch64.whl b/wheels/pendulum-3.1.0-cp310-cp310-manylinux_2_17_aarch64...,Unknown
git a/wheels/pyyaml-6.0.2-cp310-cp310-linux_armv7l.whl b/wheels/pyyaml-6.0.2-cp310-cp310-linux_armv7l.whl,Unknown
git a/wheels/ujson-5.10.0-py3-none-linux_armv7l.whl b/wheels/ujson-5.10.0-py3-none-linux_armv7l.whl,Unknown
git add -f wheels/README.md wheels/pandas-1.5.0-cp310-cp310-linux_armv7l.whl wheels/prefect-3.3.4-py3-none-any.whl.placeholder,Unknown
"git add builder/package_build/shell_environment.py\n> git commit -m \""Fix formatting for shell_environment.py\""\n> git push\n> ```\n> \n> 3. **Re-r...",Failed
"git add CI-SIMPLIFICATION.md && git commit -m ""Add documentation for CI simplification"" && git push",Failed
"git add wheels/pyyaml-6.0.2-cp310-cp310-linux_armv7l.whl && git commit -m ""Add pure Python PyYAML wheel for ARMv7l compatibility",Unknown
git add wheels/ujson-5.10.0-py3-none-linux_armv7l.whl,Unknown
git checkout --progress --force -B copilot/fix-11 refs/remotes/origin/copilot/fix-11,Unknown
git checkout --progress --force -B copilot/fix-13 refs/remotes/origin/copilot/fix-13,Unknown
git checkout --progress --force refs/remotes/pull/12/merge,Success
git checkout 2024.x.x # Latest,Unknown
git checkout 3.1.0,Unknown
git checkout 3.3.4,Failed
git checkout 3.x.x # Latest stable,Unknown
git checkout 43.x.x # Latest stable,Unknown
git checkout 847e34d -- .github/workflows/build-and-deploy.yaml,Unknown
git checkout HEAD~3 -- .,Unknown
git checkout v0.x.x # Latest stable,Unknown
git checkout v5.10.0,Unknown
git clone https://github.com/astral-sh/uv.git,Unknown
git clone https://github.com/ijl/orjson.git,Unknown
git clone https://github.com/MagicStack/asyncpg.git,Unknown
git clone https://github.com/mrabarnett/mrab-regex.git,Unknown
git clone https://github.com/PrefectHQ/prefect.git,Unknown
git clone https://github.com/pyca/cryptography.git,Unknown
git clone https://github.com/ruamel/yaml.git,Unknown
git clone https://github.com/sdispater/pendulum.git,Unknown
git clone https://github.com/sgbaird/opentrons-python-packages.git,Unknown
git clone https://github.com/ultrajson/ultrajson.git,Unknown
git commit -m Add ARMv7l-compatible pendulum wheel and fix GitHub URLs for immediate access,Unknown
git commit -m Add connectivity status and comprehensive testing validation,Unknown
git commit -m Add minimal device testing approach,Unknown
git commit -m Add OT-2 flow testing documentation and identify ujson dependency blocker,Unknown
git commit -m Add pure Python PyYAML wheel for ARMv7l compatibility,Unknown
git commit -m Add ujson ARMv7l fallback wheel to complete Prefect flow functionality,Unknown
git commit -m Complete testing infrastructure and validation on working device,Unknown
git commit -m Complete testing infrastructure with refined guide and monitoring tools,Unknown
git commit -m Implement Tailscale GitHub Action for OT-2 testing,Unknown
"git pull' before pushing again.\n"" +",Unknown
"git push --help' for details.\n"",",Unknown
git push -v origin copilot/fix-1,Success
git push -v origin copilot/fix-11,Success
git push -v origin copilot/fix-13,Success
git push -v origin copilot/fix-3,Success
git push -v origin copilot/fix-5,Success
git push -v origin copilot/fix-7,Success
git push -v origin copilot/fix-9,Success
git push -v origin REDACTED,Failed
"git push -v origin REDACTED',",Failed
git rm OT2-FLOW-SERVING-CLOUD-LOGIN-SUCCESS.md OT2-FLOW-SERVING-SUCCESS.md OT2-FLOW-TESTING.md OT2-INSTALLATION.md OT2-PREFECT-BREAKTHROUGH.md OT2-...,Success
git rm pandas-1.5.0-cp310-cp310-linux_armv7l.whl pendulum-3.1.0-cp310-cp310-manylinux_2_17_aarch64.manylinux2014_aarch64.whl pendulum-3.1.0-py3-non...,Unknown
git rm test.c PyYAML-6.0.2-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl cryptography-45.0.4.tar.gz,Unknown
"grep -n ""pip.*wheel\|pip install\|pip build"" builder/package_build/*.py",Success
"Invoking tool: github-mcp-server/get_commit with params: {""owner"":""sgbaird"",""repo"":""opentrons-python-packages"",""sha"":""f4686e17843e6ae8dbdaa5dd59161...",Success
"Invoking tool: github-mcp-server/get_issue with params: {""owner"":""Opentrons"",""repo"":""opentrons-python-packages"",""issue_number"":11}",Success
"Invoking tool: github-mcp-server/get_issue with params: {""owner"":""sgbaird"",""repo"":""opentrons-python-packages"",""issue_number"":3}",Success
"Invoking tool: github-mcp-server/get_issue with params: {""owner"":""sgbaird"",""repo"":""opentrons-python-packages"",""issue_number"":5}",Success
"Invoking tool: github-mcp-server/get_issue_comments with params: {""owner"":""sgbaird"",""repo"":""opentrons-python-packages"",""issue_number"":12,""per_page""...",Success
"Invoking tool: github-mcp-server/get_pull_request with params: {""owner"":""sgbaird"",""repo"":""opentrons-python-packages"",""pullNumber"":12}",Success
ls -la pendulum-3.1.0-cp310-cp310-linux_armv7l.whl,Unknown
ls -la wheels/pendulum-3.1.0-cp310-cp310-linux_armv7l.whl,Unknown
mkdir -p /tmp/pyyaml_build,Unknown
mkdir -p /tmp/sqlalchemy_download,Unknown
mkdir -p /tmp/ujson_fallback,Unknown
mkdir -p packages/pendulum/3.1.0,Unknown
mkdir -p packages/prefect/3.3.4,Unknown
mkdir -p packages/ujson/5.10.0,Unknown
mkdir -p wheels,Unknown
mkdir -p ~/.ssh,Unknown
mkdir pendulum_build && cd pendulum_build,Unknown
mv __init__.py ujson.py,Unknown
mv prefect_client-3.4.6-py3-none-any.whl wheels/,Unknown
npx and args: @playwright/mcp@latest,Unknown
npx and args: @playwright/mcp@latest,Success
pip build dependency issues preventing Prefect installation.,Failed
pip download --no-deps pydantic-core --dest ./wheels --platform linux_armv7l --only-binary=:all:,Success
pip download cryptography==45.0.4 --platform linux_armv7l --python-version 3.10 --implementation cp --abi cp310 ...,Success
pip download pydantic-core==2.27.2 --dest ./wheels --platform linux_armv7l --only-binary=:all: --python-version 3.10,Failed
pip download ujson --dest ./wheels --platform linux_armv7l --only-binary=:all:,Failed
pip download ujson==5.10.0 --dest ./wheels --platform linux_armv7l --only-binary=:all: --python-version 3.10,Failed
"pip install ""$TEMP_DIR/$WHEEL_FILE",Success
"pip install ""$wheel"" --force-reinstall --no-deps",Success
pip install 'asyncpg[gssauth]'</pre>,Unknown
pip install --dry-run pendulum-3.1.0-py3-none-any.whl,Unknown
pip install --dry-run pendulum-test.whl,Failed
"pip install --force-reinstall --no-deps --user https://raw.git"",",Success
pip install --force-reinstall --no-deps --user https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/pendulum-3...,Failed
pip install --force-reinstall --no-deps --user https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/pendulum-3...,Success
pip install --force-reinstall --no-deps --user https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/prefect_cl...,Failed
pip install --force-reinstall --no-deps --user https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/prefect_cl...,Success
pip install --force-reinstall --no-deps --user https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/ujson-5.10...,Success
pip install --force-reinstall --no-deps \,Unknown
pip install --no-deps https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/45c77e3/wheels/prefect-3.3.4,Failed
pip install --no-deps https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/45c77e3/wheels/prefect-3.3.4,Success
pip install --no-deps https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/45c77e3/wheels/prefect-3.3.4-py3-none-any.whl,Unknown
pip install --upgrade sqlalchemy,Success
pip install --upgrade sqlalchemy,Failed
pip install --upgrade sqlalchemy,Unknown
pip install --upgrade typing_extensions-4.12.2-py3-none-any.whl,Unknown
pip install --upgrade typing_extensions-4.12.2-py3-none-any.whl,Failed
"pip install --user 'pydantic>=2.0,<2.5' --force-reinstall",Failed
pip install --user 'pydantic[email]<2.0,Success
"pip install --user --force-reinstall 'pydantic>=2.0,<3.0",Failed
"pip install --user --force-reinstall --no-deps ${BASE_URL}pendulum-3.1.0-cp310-cp310-linux_armv7l.whl'"" ""Install pendulum wheel",Unknown
"pip install --user --force-reinstall --no-deps ${BASE_URL}prefect-3.3.4-py3-none-any.whl'"" ""Install Prefect wheel",Unknown
"pip install --user --force-reinstall --no-deps ${BASE_URL}ujson-5.10.0-py3-none-linux_armv7l.whl'"" ""Install ujson wheel",Unknown
pip install --user --force-reinstall --no-deps \,Unknown
pip install --user --force-reinstall --no-deps https://raw.githubusercontent.com/sgbaird/opentrons-python-p,Failed
pip install --user --force-reinstall --no-deps https://raw.githubusercontent.com/sgbaird/opentrons-python-p,Success
pip install --user --force-reinstall --no-deps https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/pendulum-3...,Success
pip install --user --force-reinstall --no-deps https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/prefect-3....,Failed
pip install --user --force-reinstall --no-deps https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/prefect-3....,Success
pip install --user --force-reinstall --no-deps https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/copilot/fix-11/wheels/ujson-5.10...,Success
pip install --user --force-reinstall --no-deps prefect,Success
pip install --user --force-reinstall --no-deps {base_url}{wheel},Unknown
pip install --user --force-reinstall [wheel_urls],Unknown
pip install --user --no-compile --no-cache-dir --find-links https://pypi.org/simple/ cryptography,Success
pip install --user --no-deps --no-binary=:all: sqlalchemy==2.0.0,Success
pip install --user --no-deps asgi-lifespan jsonpatch rfc3339-validator readchar typer,Success
pip install --user --no-deps dateparser,Success
pip install --user --no-deps httpx,Success
pip install --user --no-deps jsonpointer,Success
pip install --user --no-deps jsonpointer`,Unknown
pip install --user --no-deps pydantic-settings aiosqlite alembic apprise asgi-lifespan jsonpatch rfc3339-validator readchar typer ruamel-yaml humanize,Success
pip install --user --no-deps ruamel.yaml,Success
pip install --user --no-deps ruamel.yaml`,Success
pip install --user --no-deps shellingham asyncpg ruamel-yaml-clib,Success
pip install --user --no-deps shellingham asyncpg ruamel-yaml-clib,Failed
pip install --user --no-deps tzlocal,Success
pip install --user --no-deps uv,Success
pip install --user --upgrade --force-reinstall sqlalchemy,Success
pip install --user --upgrade --force-reinstall sqlalchemy,Failed
pip install --user --upgrade --force-reinstall sqlalchemy,Unknown
pip install --user --upgrade \,Success
pip install --user --upgrade anyio fastapi jinja2 prometheus-client,Success
pip install --user --upgrade anyio fastapi jinja2 prometheus-client,Failed
pip install --user --upgrade pydantic>=2.0,Failed
pip install --user --upgrade pydantic>=2.0,Unknown
pip install --user --upgrade pydantic>=2.0 rich typing-extensions>=4.10.0,Unknown
pip install --user --upgrade pydantic>=2.0 rich typing-extensions>=4.10.0 aiosqlite alembic apprise asgi-lifespan jsonpatch rfc3339-validator readc...,Failed
"pip install --user --upgrade pydantic>=2.0 rich typing-extensions>=4.10.0'"" ""Install additional dependencies",Unknown
pip install --user --upgrade typing-extensions>=4.10.0,Failed
pip install --user --upgrade typing-extensions>=4.10.0,Success
pip install --user --upgrade typing_extensions-4.12.2-py3-none-any.whl,Unknown
pip install --user --upgrade typing_extensions-4.12.2-py3-none-any.whl,Failed
pip install --user --upgrade websockets,Success
pip install --user --upgrade websockets,Failed
pip install --user --upgrade {dep},Success
pip install --user aiosqlite alembic apprise asgi-lifespan jsonpatch rfc3339-validator readchar typer ruamel-yaml,Success
pip install --user aiosqlite alembic apprise asgi-lifespan jsonpatch rfc3339-validator readchar typer ruamel-yaml --no-deps,Success
pip install --user aiosqlite alembic graphviz jinja2-humanize-extension apprise docker,Success
pip install --user aiosqlite alembic graphviz jinja2-humanize-extension apprise docker,Failed
pip install --user aiosqlite alembic graphviz jinja2-humanize-extension apprise docker`,Unknown
pip install --user aiosqlite alembic graphviz jinja2-humanize-extension apprise docker` ; `pip install --user --no-deps jsonpointer` ; `pip install...,Success
pip install --user aiosqlite alembic graphviz jinja2-humanize-extension apprise docker` and similar commands.,Success
pip install --user anyio cloudpickle importlib-metadata,Failed
pip install --user asgi-lifespan jsonpatch rfc3339-validator readchar typer ruamel-yaml,Success
pip install --user asgi-lifespan jsonpatch rfc3339-validator readchar typer ruamel-yaml,Failed
pip install --user asyncpg,Success
pip install --user asyncpg,Failed
pip install --user asyncpg cryptography shellingham,Success
pip install --user asyncpg cryptography shellingham,Failed
pip install --user cachetools,Success
pip install --user cachetools,Failed
pip install --user cloudpickle,Success
pip install --user cloudpickle,Failed
pip install --user coolname,Success
pip install --user coolname,Failed
pip install --user cryptography,Success
pip install --user cryptography,Failed
pip install --user cryptography,Unknown
pip install --user cryptography.whl,Success
pip install --user cryptography.whl,Failed
pip install --user dateparser,Success
pip install --user dateparser,Failed
pip install --user fsspec,Success
pip install --user fsspec,Failed
pip install --user griffe,Success
pip install --user griffe,Failed
pip install --user griffe,Unknown
pip install --user httpx,Success
pip install --user httpx,Failed
pip install --user httpx,Unknown
pip install --user humanize,Success
pip install --user humanize,Failed
pip install --user humanize,Unknown
pip install --user humanize sqlalchemy alembic,Failed
pip install --user opentelemetry-api,Success
pip install --user opentelemetry-api,Failed
pip install --user orjson,Success
pip install --user orjson,Failed
pip install --user orjson,Unknown
pip install --user orjson --no-deps,Success
pip install --user package_name,Failed
pip install --user pathspec,Success
pip install --user pathspec,Failed
pip install --user pref,Failed
pip install --user prefect-client,Success
pip install --user prefect_client-3.4.6-py3-none-any.whl,Unknown
pip install --user prefect_client-3.4.6-py3-none-any.whl.1,Unknown
pip install --user prefect_client-3.4.6-py3-none-any.whl.1,Failed
pip install --user prefect_client-3.4.6-py3-none-any.whl.1,Success
pip install --user pydantic-extra-types,Success
pip install --user pydantic-extra-types,Failed
pip install --user pydantic-extra-types,Unknown
pip install --user pydantic-settings,Success
pip install --user pydantic-settings,Failed
pip install --user pydantic>=2.0 rich typing-extensions>=4.10.0,Success
pip install --user python-slugify,Success
pip install --user python-slugify,Failed
pip install --user python-socks[asyncio],Success
pip install --user python-socks[asyncio],Failed
pip install --user referencing,Success
pip install --user referencing,Failed
pip install --user referencing,Unknown
pip install --user rich,Failed
pip install --user rich,Success
pip install --user rich,Unknown
pip install --user shellingham,Success
pip install --user shellingham,Failed
pip install --user shellingham,Unknown
pip install --user sqlalchemy==2.0.41 referencing rpds-py,Success
pip install --user toml,Success
pip install --user toml,Failed
pip install --user typing_extensions --upgrade,Unknown
pip install --user typing_extensions --upgrade,Failed
pip install --user wheel_file.whl,Unknown
pip install -r requirements-frozen.txt,Failed
pip install -r requirements.txt,Unknown
pip install ./dist/builder-*.whl,Unknown
pip install /home/runner/work/opentrons-python-packages/opentrons-python-packages/wheels/pendulum-3.1.0-py3-none-any.whl --force-reinstall,Success
pip install /path/to/prefect-3.3.4-py3-none-any.whl,Success
pip install /path/to/prefect-3.3.4-py3-none-any.whl,Unknown
pip install /path/to/prefect-3.3.4-py3-none-any.whl`,Unknown
pip install /path/to/prefect-3.3.4-py3-none-any.whl`.,Unknown
pip install /tmp/$wheel_name --force-reinstall,Unknown
"pip install /tmp/$wheel_name"" >> wheels/README.md",Success
pip install /tmp/${PACKAGE}.whl,Unknown
pip install /tmp/[WHEEL_NAME].whl,Unknown
pip install /tmp/[WHEEL_NAME].whl,Failed
pip install /tmp/pandas.whl,Success
pip install /tmp/pandas.whl,Unknown
pip install /tmp/pandas.whl\n```\n\n**CI artifacts and releases** (when CI runs successfully)\n\n### 3. Immediate Package Access\nAdded pre-built w...,Failed
pip install /tmp/pendulum-optimized.whl,Unknown
pip install /tmp/pendulum-optimized.whl,Success
pip install /tmp/pendulum.whl,Unknown
pip install /tmp/pendulum.whl,Failed
pip install /tmp/pendulum.whl,Unknown
pip install /tmp/pendulum.whl,Failed
pip install /tmp/pendulum.whl,Unknown
"pip install /tmp/pendulum.whl"",",Unknown
pip install /tmp/prefect-*.whl,Unknown
pip install /tmp/prefect-3.3.4-py3-none-any.whl,Unknown
pip install /tmp/prefect-3.3.4-py3-none-any.whl,Success
pip install /tmp/prefect-3.3.4-py3-none-any.whl,Failed
pip install /tmp/prefect.whl,Unknown
pip install /tmp/prefect.whl,Success
"pip install /tmp/prefect.whl"",",Success
pip install /tmp/prefect_client.whl,Unknown
pip install /tmp/prefect_client.whl,Failed
"pip install /tmp/test.whl && python3 -c 'import $PACKAGE; print(\""Success!\"")' && exit 0",Success
pip install /tmp/test_wheel.whl; then,Unknown
pip install /tmp/ujson.whl,Unknown
pip install asyncpg</pre>,Unknown
pip install asyncpg</span>,Unknown
pip install cryptography-*-cp310-cp310-linux_armv7l.whl,Success
"pip install from an artifact, but it doesn't seem like you've been able to build one successfully through the CI. At this point, I'd be okay if he ...",Success
pip install https://github.com/sgbaird/opentrons-python-packages/blob/copilot/fix-11/wheels/pendulum-3.1.0-py3-none-any.whl` didn't work. That's be...,Failed
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/,Unknown
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/45c77e3/wheels/prefect-3.3.4-py3-none-,Failed
pip install https://raw.githubusercontent.com/sgbaird/opentrons-python-packages/45c77e3/wheels/prefect-3.3.4-py3-none-any.whl,Unknown
